,Unique Values,Count
929,"Faience, paste
Shell , Nacre, Pearl
Wood
Gold",1
979,"Faience, paste inlay",1
1023,"Faience, paste, garnet, restored bronze",1
976,"Faience, pigment",1
850,"Faience, polychrome",1
1070,"Faience, semi-precious stones, gold, silver",1
466,"Faience, shell, and string",1
770,"Faience, shell, wood",1
771,"Faience, stone",1
323,"Faience, string",2
396,"Faience, traces of blue glaze",2
1062,"Faience, traces of green glaze",1
558,"Faience, violet",1
563,"Faience, violet and white",1
150,"Faience, violet and yellow",6
595,"Faience, white with red and blue decoration",1
1054,"Faience, whitish, originally green glaze",1
1270,"Faience, wood, carnelian, gold, wood, paint",1
584,"Faience, wood, clay seal",1
591,"Faience,Pale blue",1
145,Feldspar,6
167,Fiber,5
385,Fine light red pottery,2
948,Fine red pottery with hematite wash,1
774,Fine-grained greenish-grey stone,1
678,Fine-grained grey stone,1
989,Fine-grained quartzite,1
709,Flax fiber,1
24,Flint,116
78,"Flint, adhesive",15
903,"Flint, ink, paint",1
974,Fossiliferous limestone,1
764,Free faience,1
355,Fused glass,2
155,Gabbro,6
1263,"Gabbro, pigment",1
1337,"Gabroic rock, possibly serpentinite",1
505,Galena,1
279,Garnet,3
624,"Garnet, gold, carnelian, silver",1
623,"Garnet, gold, silver, carnelian, blue faience, turquoise",1
258,Gessoed and painted wood,3
661,Gilded glass,1
606,Gilded silver,1
340,Gilded wax on a reconstructed body of ancient linen,2
175,Gilt glass,5
7,Glass,503
725,Glass slag,1
896,"Glass, adhesive",1
1222,"Glass, black-blue",1
759,"Glass, carnelian",1
567,"Glass, colorless",1
503,"Glass, colorless with brown tinge",1
1104,"Glass, cupreous metal",1
625,"Glass, faience",1
259,"Glass, gold",3
181,"Glass, gold foil",5
660,"Glass, green-blue",1
578,"Glass, greenish",1
742,"Glass, greenish color",1
458,"Glass, iridescent",1
416,"Glass, opaque",2
852,"Glass, palm fiber",1
209,"Glass, precious metal",4
599,"Glass, red-purple",1
607,"Glass, variegated",1
1304,Glassy Faience,1
252,Glassy faience,3
1106,"Glassy faience, gold",1
294,Glaze slag,3
160,Glazed Steatite,5
1183,"Glazed Steatite, linen",1
285,Glazed faience,3
287,Glazed limestone,3
20,Glazed steatite,164
629,Glazed steatite in gold funda,1
657,"Glazed steatite, copper alloy",1
250,"Glazed steatite, electrum",3
1188,"Glazed steatite, faience",1
193,"Glazed steatite, gold",4
1042,"Glazed steatite, linen cord",1
277,"Glazed steatite, linen string",3
1101,"Glazed steatite, paint",1
1018,"Glazed steatite, shell",1
966,"Glazed steatite, silver",1
1066,"Glazed steatite, traces of blue glaze",1
763,Glazed stone,1
691,Glazed travertine,1
240,Gneiss,4
636,Goat's wool,1
15,Gold,193
356,Gold foil,2
1081,Gold inlaid with carnelian,1
263,Gold leaf,3
967,"Gold over pitch, carnelian, lapis lazuli
Carnelian
Lapis-lazuli",1
53,Gold sheet,28
605,Gold with filigree ornament,1
368,"Gold, Egyptian blue",2
190,"Gold, amethyst",4
420,"Gold, amethyst, diorite pellets",2
264,"Gold, carnelian",3
1088,"Gold, carnelian, blue glass, pigmented calcareous bedding material",1
1028,"Gold, carnelian, feldspar, pellets of copper-silver alloy",1
1324,"Gold, carnelian, glass",1
500,"Gold, carnelian, lapis lazuli",1
1052,"Gold, carnelian, lapis lazuli, and turquoise, bedding material",1
362,"Gold, carnelian, lapis lazuli, blue and green glass, faience on bronze or copper wire",2
1027,"Gold, carnelian, lapis lazuli, green feldspar, amethyst",1
1089,"Gold, carnelian, lapis lazuli, pigmented calcareous bedding material",1
1344,"Gold, carnelian, lapis lazuli, turquoise, garnet 
Gold, carnelian, lapis lazuli, turquoise, green feldspar",1
1117,"Gold, carnelian, lapis-lazuli, amethyst, beryl",1
196,"Gold, carnelian, lapis-lazuli, turquoise glass",4
497,"Gold, carnelian, opaque turquoise glass, decayed crizzled glass",1
180,"Gold, carnelian, paste",5
737,"Gold, carnelian, silver, glass, blue paste, feldspar, amethyst, jasper, rock crystal, resin, linen twine, leather",1
225,"Gold, carnelian, turquoise",4
1291,"Gold, carnelian, turquoise glass",1
922,"Gold, carnelian, turquoise, faience",1
339,"Gold, carnelian, turquoise, faience, Egyptian blue, lapis lazuli",2
753,"Gold, carnelian, turquoise, feldspar, pellets of copper-silver alloy",1
451,"Gold, carnelian, turquoise, glass",2
924,"Gold, carnelian, turquoise, lapis-lazuli, also possibly ivory , crystal",1
649,"Gold, cloisonn̩ enamel, turquoise",1
257,"Gold, copper alloy",3
511,"Gold, crizzled glass, Egyptian blue",1
364,"Gold, faience",2
1060,"Gold, faience, carnelian, turquoise",1
1329,"Gold, faience, red jasper, blue glass",1
394,"Gold, garnet",2
1335,"Gold, gesso, carnelian, jasper, transparent crizzled glass, opaque turquoise glass",1
311,"Gold, glass, carnelian",2
1187,"Gold, glassy faience",1
117,"Gold, glazed steatite",9
1292,"Gold, green schist",1
470,"Gold, green stone",1
1332,"Gold, greenschist",1
381,"Gold, jasper",2
224,"Gold, lapis lazuli",4
1077,"Gold, lapis lazuli, turquoise, carnelian",1
349,"Gold, lapis, faience",2
199,"Gold, lapis-lazuli",4
818,"Gold, lapis-lazuli, turquoise glass",1
667,"Gold, leather thong, hair",1
1029,"Gold, linen cord",1
1315,"Gold, onyx",1
698,"Gold, pearls",1
492,"Gold, silver",1
1285,"Gold, twisted linen cord , modern stringing",1
886,"Gold, wood, green feldspar, lapis lazuli, jasper and beryl",1
519,"Goose, linen",1
614,Gourd,1
54,Granite,28
582,Granite or granodiorite,1
609,"Granite, greyish",1
146,"Granite, paint",6
832,Granitodiorite,1
52,Granodiorite,29
1234,Granodriorite,1
234,Grass,4
345,"Grass, palm leaf",2
1253,"Grass, reed, papyrus",1
828,Grasses,1
479,Gray,1
1229,Gray faience,1
716,Gray paste,1
1197,Gray porphyritic diorite,1
977,Gray steatite,1
879,Gray stone,1
752,Graywacke,1
214,Green Faience,4
529,Green Quartzite,1
1076,Green Stone,1
822,Green composition,1
80,Green faience,15
486,"Green faience, discolored",1
95,Green feldspar,12
805,Green feldspar and beryl,1
802,"Green feldspar, amethyst, carnelian",1
803,"Green feldspar, beryl, faience, glazed steatite, and carnelian",1
620,"Green feldspar, gold",1
895,Green glass,1
728,Green glass and stone,1
247,Green glazed faience,3
30,Green glazed steatite,84
670,"Green glazed steatite, metal pin in boring",1
182,Green jasper,5
845,Green jasper or serpentinite,1
1346,Green jasper plaque on gold earring,1
471,Green jasper plaque on silver ring,1
1031,Green jasper scarab on gold ring,1
338,"Green jasper, gold",2
671,Green leather,1
262,Green paste,3
876,Green porphyry,1
1265,Green schist,1
747,Green serpentinite,1
404,Green steatite,2
219,Green stone,4
1333,"Green stone, gold",1
1057,Green-and-White banded jasper,1
1136,Greenish faience,1
1093,Greenish limestone,1
1137,Grey Schist,1
483,Grey faience,1
891,Grey glazed steatite,1
840,Grey stone,1
847,Greyish-brown stone,1
46,Greywacke,37
669,"Greywacke , slate",1
314,Greywacke or diorite,2
1022,"Greywacke, shell",1
734,Grit stone,1
112,Gritstone,9
996,Gulleh ware,1
192,Gum,4
1247,Gypsum,1
1353,Gypsum mortar,1
274,Gypsum plaster,3
195,Hair,4
585,"Hair , beeswax",1
328,"Hair , linen",2
749,Halfa grass and linen cord,1
1039,Halfa grass and rush basketry,1
1079,"Halfa grass, dyed grass, linen cord",1
248,"Halfa grass, palm leaf, linen cord",3
1340,"Halfa grass, palm leaf, linen cord, wood",1
1260,Hammered bronze or copper alloy,1
1218,Hard Limestone,1
1064,Hard brownish mottled stone,1
171,Hard wood,5
100,Hematite,11
722,Hematite basalt,1
711,"Hematite, bronze",1
1168,"Hematite, gold",1
96,Hippopotamus ivory,11
1227,"Hippopotamus ivory, rosewood",1
1015,Hippopotomus Ivory,1
715,Hippopotomus ivory,1
975,Homogenous travertine,1
1012,Horn,1
1318,"Horn, bone, paint",1
973,Hornblende diorite,1
1319,Hornblende granite,1
298,Human bone,3
185,Human remains,5
1301,Human remains wrapped with linen and mummification material,1
867,"Human remains, linen",1
689,"Human remains, linen, faience",1
359,"Human remains, linen, mummification material",2
1300,"Human remains, linen, mummification material, painted, plastered, and gilded cartonnage",1
589,"Human remains, linen, mummification materials, painted and gilded cartonnage",1
1286,"Human remains, linen, plaster, paint, mummification material",1
329,"Human remains, wood",2
409,Indurated  limestone,2
921,Indurated Limestone,1
14,Indurated limestone,207
419,"Indurated limestone, paint",2
237,"Indurated limestone, paint, linen",4
1163,"Indurated limestone, red paint",1
154,Ink and opaque watercolor on paper,6
594,Ink and opaque watercolor on parchment,1
754,Ink and white pigment on paper,1
126,Ink on Paper,8
86,Ink on paper,14
75,Ink on papyrus,16
429,"Ink, opaque watercolor, and gold on paper",2
561,"Ink, white and colored chalk on paper",1
565,Inks on paper,1
56,Iron,27
21,Ivory,138
1144,"Ivory , wood, blue-pigment inlay",1
428,Ivory or bone,2
476,Ivory or wood,1
969,Ivory with black organic material in incisions,1
1005,"Ivory, Egyptian Blue",1
637,"Ivory, bronze",1
482,"Ivory, copper alloy, modern wood",1
997,"Ivory, flint",1
1025,"Ivory, garnet, paint",1
958,"Ivory, paint",1
931,"Ivory, pigment",1
1123,"Ivory, red and pink pigment, white ground",1
1354,Ivory: Hippopotamus,1
1155,"Jar: pottery, paint. Lid: travertine",1
98,Jasper,11
1261,"Jasper, carnelian, chlorite",1
1231,"Jasper, gold",1
1220,"Jasper, greenish",1
560,Jet,1
369,Lapis,2
1219,Lapis Lazuli,1
37,Lapis lazuli,63
1041,"Lapis lazuli, amethyst, feldspar",1
920,"Lapis lazuli, carnelian, gold",1
1034,"Lapis lazuli, carnelian, linen cord",1
849,"Lapis lazuli, faience",1
201,"Lapis lazuli, gold",4
1223,"Lapis lazuli, hematite, carnelian",1
513,"Lapis lazuli, silver",1
1017,"Lapis lazuli, travertine",1
772,"Lapis, ivory",1
197,Lapis-lazuli,4
132,Lead,7
1268,Lead glazed terracotta,1
90,Leaded bronze,13
1282,"Leaded bronze, formerly gilded",1
322,"Leaded bronze, glass, gold leaf",2
1281,"Leaded bronze, gold and electrum sheet on crown, Egyptian blue and glass inlays",1
762,"Leaded bronze, gold leaf",1
1134,"Leaded bronze, gold leaf on censer and vessel",1
577,"Leaded bronze, precious metal and black bronze inlays",1
1128,"Leaded bronze, precious metal leaf, copper alloy inlay in eye rims",1
690,Leaded tin,1
72,Leather,17
1084,"Leather , dye",1
1297,"Leather , paint",1
836,Leather and papyrus,1
559,"Leather, cotton",1
530,"Leather, dye",1
555,"Leather, metal wire, wool, and cotton",1
569,"Leather, silk, and gold",1
600,"Leather, silk, paper, cotton, bronze",1
426,Lemon,2
527,Light Blue Faience,1
890,Light Blue Glass,1
208,"Light and dark green, blue and black faience, paint",4
281,Light blue faience,3
205,Light green faience,4
1061,Light greenish stone,1
533,Light red ware,1
3,Limestone,622
1011,"Limestone , organic material",1
1293,"Limestone , paint",1
1241,Limestone breccia,1
915,Limestone table,1
908,Limestone with red paint,1
1327,Limestone with traces of color,1
735,"Limestone,  paint",1
131,"Limestone, blue paste",7
1238,"Limestone, blue paste in inscription, linen, possibly human remains",1
34,"Limestone, ink",69
60,"Limestone, ink, paint",23
379,"Limestone, mortar",2
107,"Limestone, mortar traces",10
995,"Limestone, organic material",1
1170,"Limestone, originally painted black",1
5,"Limestone, paint",525
147,"Limestone, paint traces",6
1116,"Limestone, paint, gold leaf",1
158,"Limestone, pigment",5
1310,"Limestone, plaster",1
1356,"Limestone, plaster traces",1
945,"Limestone, possibly bituminous marble",1
514,"Limestone, pottery",1
1246,"Limestone, probably recrystalized siliceous variety of indurated limestone",1
391,"Limestone, red paint",2
871,"Limestone, red paint traces",1
284,"Limestone, red pigment",3
1038,"Limestone, red, yellow and black paint",1
1317,"Limestone, sandstone, paint",1
1244,"Limestone, sandy to indurated",1
1037,"Limestone, shaly,  ink",1
299,"Limestone, stains",3
1352,"Limestone, traces of mortar",1
586,"Limestone, traces of paint",1
627,"Limestone, traces of pigment",1
31,"Limestone, varnish",72
378,"Limestone, varnish, mortar",2
186,"Limestone, varnished",4
12,Linen,254
1105,"Linen
Sandstone",1
33,Linen and silk,69
213,Linen and wool,4
313,Linen cord,2
194,Linen covered with stucco,4
1176,Linen dyed with indigotin,1
644,Linen fiber,1
1178,Linen net,1
1369,"Linen, animal remains, paint",1
489,"Linen, cord",1
645,"Linen, cotton",1
1212,"Linen, decomposed wood material",1
576,"Linen, embroidered in silk and metal wrapped thread",1
1119,"Linen, gesso",1
172,"Linen, gesso, paint",5
575,"Linen, gold leaf, black ink",1
457,"Linen, gold wrapped thread and silk",1
866,"Linen, hematite",1
49,"Linen, ink",32
647,"Linen, ink, gold",1
780,"Linen, mud",1
786,"Linen, natron",1
156,"Linen, paint",6
634,"Linen, paint, animal remains, mummfication materials",1
679,"Linen, paste, paint",1
28,"Linen, silk",86
271,"Linen, silk, metal wrapped thread",3
293,"Linen, stucco, paint",3
255,"Linen, tempera paint",3
1308,"Linen, unidentified contents , mummification materials",1
152,"Linen, wax",6
11,"Linen, wool",334
902,"Linen, wool, and silk",1
646,"Linen, wool, tapestry-woven inserts",1
113,Low-fired whitish clay,9
295,"Low-fired whitish clay, faience",3
249,Magnesite,3
1209,"Main support: Ink, opaque watercolor, and gold on paper
Binding: Leather",1
383,Malachite,2
108,Marble,10
952,"Marl clay A3, ""Qena clay""",1
1320,Meta-Greywacke,1
251,Meta-greywacke,3
384,Meta-siltstone,2
769,Metagraywacke,1
810,Metal,1
703,"Metal, string",1
269,Mica schist,3
239,"Mica schist, glazed",4
882,Millefiori glass,1
220,Mold-pressed glass,4
333,Mortar,2
68,Mosaic glass,19
268,Mother of pearl,3
831,"Mother of pearl, bronze",1
597,"Mottled glass, blue and white",1
877,Mottled green stone,1
1141,Mottled semi-translucent  quartz,1
4,Mud,580
1118,Mud or clay,1
119,"Mud plaster, paint",9
304,"Mud, cord",3
393,"Mud, faience",2
357,"Mud, fiber",2
176,"Mud, string",5
1360,"Mud, wax",1
321,"Mud, wood",2
712,"Mud, woven cloth",1
410,Nile mud,2
133,Obsidian,7
837,"Obsidian
Obsidian",1
415,"Obsidian, gold",2
799,Onyx,1
583,"Onyx, Glass",1
674,Opaque and translucent blue glass,1
676,Opaque blue glass,1
700,"Opaque dark blue glass, striated",1
727,Opaque green glass,1
574,Opaque watercolor and gold on paper,1
226,Opaque watercolor on paper,4
907,"Organic material, fiber",1
522,Oyster Shell,1
1185,"Paint, stain",1
1294,Painted and gilded wood,1
334,Painted and plastered wood,2
814,"Painted cartonnage, wood, gold leaf, Egyptian blue, calcite, carnelian, beryl, silver wire, faience",1
568,Painted gessoed wood,1
1172,Painted indurated limestone,1
139,Painted limestone,6
829,Painted plaster,1
918,Painted red pottery,1
813,"Painted sycomore and ziziphus wood, gold leaf",1
200,Painted wood,4
917,Painted wood and cartonnage,1
738,"Painted wood, limestone, and ink",1
212,Pale blue faience,4
1207,Pale blue glass,1
469,Pale carnelian,1
296,Pale green faience,3
1059,Pale green glazed steatite,1
611,"Palm Fiber, red paint",1
943,Palm Leaf,1
862,Palm fiber rope,1
639,"Palm fibre, reed",1
207,Palm leaf,4
944,Palm leaf basketry,1
1365,"Palm leaf, dye",1
549,"Palm leaf, grass",1
1115,"Palm leaves, grass, string, red dye",1
473,"Palm wood, linen, natron",1
642,"Palm, grass",1
178,Paper,5
544,"Paper, black and red ink",1
51,"Paper, tempera paint, ink",30
283,Papyrus,3
1177,Papyrus Reed,1
136,Papyrus fiber,7
695,"Papyrus, fiber",1
38,"Papyrus, ink",58
911,"Papyrus, ink, pigment",1
1175,"Papyrus, olive leaves, cornflowers, linen",1
