Title,Culture,Dynasty,Date,Period,Material,object_Type,Path
RC-127 - Faience Shabti,Egyptian,20TH,Dynasty 20,New Kingdom,Faience,Ritual Objects,382.jpg
RC-129 - Shawabti,Egyptian,26TH,686 - 525 BCE,Saite Period,Faience,Ritual Objects,941.jpg
RC-130 - Shawabti,Egyptian,26TH,686 - 525 BCE,Saite Period,Faience,Ritual Objects,942.jpg
RC-132 - Knife,Egyptian,,"10,000 BCE - 4800 BCE",Neolithic*,Rhyolite,Tools,764.jpg
RC-137 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,690.jpg
RC-138 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,27.jpg
RC-146 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,510.jpg
RC-147 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,172.jpg
RC-148 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,199.jpg
RC-149 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Rhyolite,Tools,101.jpg
RC-150 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,792.jpg
RC-151 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Rhyolite,Tools,133.jpg
RC-152 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,416.jpg
RC-153 - Arrowhead,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,499.jpg
RC-154 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,587.jpg
RC-155 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,81.jpg
RC-156 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,181.jpg
RC-157 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,175.jpg
RC-158 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,805.jpg
RC-159 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,847.jpg
RC-160 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Rhyolite,Tools,283.jpg
RC-161 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,637.jpg
RC-162 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,787.jpg
RC-163 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,514.jpg
RC-164 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,757.jpg
RC-165 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,392.jpg
RC-166 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Rhyolite,Tools,654.jpg
RC-170 - Badarian Jar,Egyptian,BADARIAN,4800-4200 BCE,Predynastic,Clay,Vessels,589.jpg
RC-173 - Jar,Egyptian,,4800 - 3100 BCE,Predynastic,Clay,Vessels,616.jpg
RC-174 - Jar,Egyptian,,3200-3000 BCE,,Clay,Vessels,603.jpg
RC-176 - Jar,Egyptian,,3500-3000 BCE,,Clay,Vessels,1.jpg
RC-177 - Jar,Egyptian,,3500 - 3000 BCE,,Clay,Vessels,287.jpg
RC-183 - Jar,Egyptian,,3500 - 3000 BCE,,Clay,Vessels,590.jpg
RC-189 - Jar,Egyptian,,3250 - 3000 BCE,Predynastic,Clay,Vessels,662.jpg
RC-190 - Jar,Egyptian,19TH,1293 - 1185 BCE,New Kingdom,Clay,Vessels,620.jpg
RC-192 - Jar,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Clay,Vessels,21.jpg
RC-194 - Jar,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Clay,Vessels,145.jpg
RC-198 - Beer Jar,Egyptian,18-20TH,1549-1069 BCE,New Kingdom,Clay,Vessels,555.jpg
RC-199 - Jar,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Clay,Vessels,943.jpg
RC-200 - Jar,Egyptian,20TH,1185 - 1070 BCE,New Kingdom,Clay,Vessels,123.jpg
RC-202 - Pitcher Or Vase W/ One Handle,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Clay,Vessels,93.jpg
RC-203 - Jar with Two Handles,Egyptian,,305 - 30 BCE,Ptolemaic,Clay,Vessels,138.jpg
RC-205 - Bes Bottle,Egyptian,26 - 31ST,525 - 332 BCE,Late Period,Clay,Vessels,230.jpg
RC-206 - Jar,Egyptian,,305 - 30 BCE,Ptolemaic,Clay,Vessels,944.jpg
RC-208 - Flask,Egyptian,27 - 30ST,525-343 BCE,Late Period,Clay,Vessels,945.jpg
RC-209 - Pitcher,Egyptian,,305 - 30 BCE,Ptolemaic,Clay,Vessels,406.jpg
RC-210 - Syrian Flask with One Handle,Egyptian,18-20TH,1570-1070 BCE,New Kingdom,Clay,Vessels,496.jpg
RC-211 - Bottle,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Clay,Vessels,340.jpg
RC-212 - Jar with One Handle,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Clay,Vessels,946.jpg
RC-214 - Jar,Egyptian,,30 BCE - 323 CE,Greco-Roman,Clay,Vessels,823.jpg
RC-216 - Bes Jar,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Clay,Vessels,745.jpg
RC-217 - Bes Jar with Two Handles,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Clay,Vessels,125.jpg
RC-218 - Jar with One Handle,Egyptian,,332-31 BCE,Ptolemaic,Clay,Vessels,542.jpg
RC-219 - Jar,Egyptian,27 - PTOLEMAIC,525 - 30 BCE,Late Period,Clay,Vessels,208.jpg
RC-225 - Ibis Mummy,Egyptian,,332 BCE - 395 CE,Ptolemaic To Roman,Animal Remains,Funerary,947.jpg
RC-226 - Ibis Mummy,Egyptian,,,,Animal Remains,Funerary,948.jpg
RC-227 - Winged Heart Scarab,Egyptian,,,,Varigated Marble,Amulets,448.jpg
RC-231 - Osiris Head,Egyptian,,,,Wood,Sculpture,926.jpg
RC-232 - Amulet/ Seal,Egyptian,,,,Sandstone,Amulets,899.jpg
RC-234 - Sobek,Egyptian,,332 BCE - 395 CE,Greco-Roman,Sandstone,Sculpture,497.jpg
RC-237 - Canopic Jar and Lid,Egyptian,,,,Limestone,Vessels,532.jpg
RC-240 - Spoon,Egyptian,3 - 6TH ?,2686 - 2181 BCE ?,Old Kingdom ?,Banded Calcite,Vessels,49.jpg
RC-241 - Deity,Egyptian,,,,Slate Or Stone,Sculpture,949.jpg
RC-245 - Uatch Amulet,Egyptian,,,,Faience,Amulets,670.jpg
RC-246 - Canopic Jar/ Without Lid,Egyptian,,,,Banded Calcite,Vessels,696.jpg
RC-247 - Pectoral Ornament,Egyptian,,,,Porcelain,Jewelry,383.jpg
RC-250 - Canopic Jar Box,Egyptian,,332 BCE - 323 CE,Greco-Roman,Wood,Funerary,116.jpg
RC-252 - Arabic Lamp,Oriental,,,,Terra Cotta,Lamps,819.jpg
RC-253 - Arabic Boat Lamp,Oriental,,,,Steatite,Lamps,861.jpg
RC-254 - Arabic Lamp,Oriental,,642 CE - ?,Arab Conquest,Soapstone,Lamps,246.jpg
RC-256 - Fertility Figure,Egyptian,,1784-1570 BCE,,Terracotta,Sculpture,227.jpg
RC-259 - Incense Burner,Egyptian,,685-343 BCE,Late Period,Bronze,Ritual Objects,295.jpg
RC-263 - Amen-Ra Headdress,Egyptian,,,Late Ptolemaic/Roman,Wood,Sculpture,168.jpg
RC-266 - Pottery Fragment,Egyptian,18-20TH,1570-1070 BCE,New Kingdom,Clay,Vessels,304.jpg
RC-267 - Mask/ Coffin Fragment,Egyptian,,305 - 30 BCE,Ptolemaic,Wood,Funerary,424.jpg
RC-270 - Nub-Maat-Ra Scarab,Egyptian,18TH,1570 - 1293 BCE,New Kingdom,,Amulets,685.jpg
RC-275 - Winged Scarab/ Without Wings,Egyptian,,,,Faience,Amulets,738.jpg
RC-289 - Wadjet Ring,Egyptian,,,,Faience,Jewelry,681.jpg
RC-290 - Horemheb Finger Ring,Egyptian,19TH,1319 - 1292 BCEE,New Kingdom,Faience,Jewelry,501.jpg
RC-293 - Mirror/ Papyrus Shaped Handle,Egyptian,11 - 12TH,2061-1784 BCE,Middle Kingdom,Bronze,Toiletries,739.jpg
RC-294 - Shawabti,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Steatite Stone ?,Ritual Objects,97.jpg
RC-298 - Seated Young Horus,Egyptian,,,,Bronze,Sculpture,875.jpg
RC-299 - Pharaoh with Offering,Egyptian,,,,Bronze,Sculpture,593.jpg
RC-303 - Libation Vase with One Handle,Egyptian,,,,Banded Calcite,Vessels,951.jpg
RC-310 - Contract Tablet,Mesopotamian,,2112 - 2004 BCE,Sumerian,Clay,Sumerian,9.jpg
RC-321 - Contract Tablet/ Tag,Mesopotamian,,2112 - 2004 BCE,,Clay,Sumerian,538.jpg
RC-334 - Anu Household God,Mesopotamian,,3000 BCE,Sumerian,Clay,Sumerian,801.jpg
RC-336 - Household God,Mesopotamian,,1000 BCE,Neo Babylonian,Clay,Babylonian,565.jpg
RC-338 - Ishtar Household Goddess,Mesopotamian,,1000 - 609 BCE,Neo Assyrian,Clay,Assyrian,188.jpg
RC-339 - Household God,Mesopotamian,,538 BCE - 75 CE,Late Babylonian,Clay,Babylonian,595.jpg
RC-340 - Amulet Necklace/ Double Strand,Egyptian,28TH,404 - 399 BCE,Late Period,Faience,Jewelry,850.jpg
RC-350 - Amulet Necklace,Egyptian,,30 BCE - 323 CE,Greco-Roman,Glass,Jewelry,135.jpg
RC-353 - Osiris Amulet,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Bronze,Amulets,109.jpg
RC-354 - Razor/ Knife,Egyptian,18TH,1570 - 1293 BCE],New Kingdom,Bronze,Toiletries,75.jpg
RC-355 - Heart Scarab/ Uninscribed,Egyptian,18 - 20TH TO ?,1570 - 1070 BCE,New Kingdom To Later,Serpentine,Amulets,334.jpg
RC-356 - Heart Scarab,Egyptian,18 - 20TH ?,1570 - 1070 BCE ?,New Kingdom Or Later,Stone,Amulets,679.jpg
RC-358 - Pharaoh Head Fragment,Egyptian,18TH,1570-1293 BCE,New Kingdom,Sandstone,Sculpture,457.jpg
RC-359 - Offering Table,Egyptian,,,Ptolemaic,Sandstone,Ritual Objects,385.jpg
RC-360 - Offering Table,Egyptian,,,,Sandstone,Ritual Objects,700.jpg
RC-361 - Flint Implement,Egyptian,,4000 - 3050 BCE,Late Paleolithic,Jasper,Tools,844.jpg
RC-362 - Flint Implement,Egyptian,,"48,000 BCE",Late Paleolithic,Jasper,Tools,665.jpg
RC-363 - Flint Implement,Egyptian,,6000 - 3500 BCE,Late Paleolithic,Rhyolite,Tools,795.jpg
RC-367 - Apis Bull Head Mummy,Egyptian,19TH,1549-1069 BCE,New Kingdom,Animal Remains,Funerary,103.jpg
RC-368 - Nebuchadnezzar Cylinder,Mesopotamian,,604-562 BCE,Late Babylonian,Clay,Babylonian,148.jpg
RC-375 - Harpocrates,Egyptian,,332 - 323 BCE,Greco-Roman,Bronze,Sculpture,952.jpg
RC-381 - Amphora,Egyptian,,1st or 2nd c. BCE,Ptolemaic-Roman,Glass,Vessels,953.jpg
RC-382 - Amphora,Egyptian,26TH,685 - 525 BCE,Saite Period,Glass,Vessels,522.jpg
RC-383 - Amphora,,,30 BCE - 395 CE,Roman,Glass,Vessels,954.jpg
RC-384 - Amphora,Egyptian,,525 - 332 BCE,Late Period,Glass,Vessels,955.jpg
RC-385 - Alabastron,Egyptian,,332 - 30 BCE,Ptolemaic,Glass,Toiletries,956.jpg
RC-386 - Alabastron,Egyptian,,332-31 BCE,Ptolemaic,Glass,Toiletries,957.jpg
RC-387 - Alabastron,Egyptian,27 - 30th,525 - 343 BCE,Late Period,Amethystine Glass,Toiletries,958.jpg
RC-388 - Amphora,Egyptian,,332-31 BCE,Ptolemaic,Glass,Vessels,959.jpg
RC-389 - Amphora,Egyptian,,332-31 BCE,Ptolemaic,Glass,Vessels,960.jpg
RC-391 - Double Unguentorium,Egyptian,26TH,685 - 395 CE,Saite Or Late Roman,Glass,Toiletries,961.jpg
RC-392 - Double Unguentorium,Egyptian,,685 BCE - 395 CE,Saite Or Late Roman,Glass,Toiletries,193.jpg
RC-393 - Shawabti Coffin,Egyptian,18-20TH,1570- 1070 BCE,New Kingdom,Cedarwood,Ritual Objects,293.jpg
RC-394 - Pot,Mesopotamian,,2400 - 2100 BCE,Old Akkadian,Terracotta,Sumerian,908.jpg
RC-395 - Pot,Mesopotamian,,604 - 562 BCE,Late Babylonian,Glazed Terracotta,Babylonian,452.jpg
RC-396 - Pot,Mesopotamian,,604 - 562 BCE,Late Babylonian,Terracotta,Babylonian,170.jpg
RC-397 - Pot,Mesopotamian,,2000 BCE,Old Assyrian,Terracotta,Assyrian,622.jpg
RC-398 - Pot,Mesopotamian,,3200 BCE ?,Sumerian,Terracotta,Sumerian,922.jpg
RC-399 - Water Strainer,Mesopotamian,,,,Terracotta,Assyrian,401.jpg
RC-400 - Vase,Mesopotamian,,2400 BCE,Sumerian,Limestone,Sumerian,485.jpg
RC-401 - Crucible,Mesopotamian,,2400 BCE,Sumerian,Stone,Sumerian,143.jpg
RC-404 - Leg Fragment,Egyptian,,525-343 BCE,Late Period,Black Granite,Sculpture,215.jpg
RC-419 - Spindle-Whorl,Egyptian,18TH,1380-1350 BCE,Amarna,Wood,Tools,633.jpg
RC-420 - Spindle-Whorl,Egyptian,18TH,1380-1350 BCE,Amarna,Wood,Tools,842.jpg
RC-421 - Spindle-Whorl,Egyptian,18TH,1380-1350 BCE,Amarna,Wood,Tools,476.jpg
RC-422 - Shawabti Box with Lid,Egyptian,,2134-1784 BCE,Middle Kingdom,Wood,Ritual Objects,150.jpg
RC-425 - Basket Frame,Egyptian,18TH,1380 - 50 BCE,Amarna,Reed,Basketry,322.jpg
RC-426 - Basket Fragment,Egyptian,18TH,1380 - 62 BCE,Amarna,Reed,Basketry,18.jpg
RC-431 - Lion's Head Downspout,Egyptian,,332-31 BCE,Ptolemaic,Terracotta,Sculpture,367.jpg
RC-433 - Grape Cluster,Egyptian,18TH,1346-1336 BCE,Amarna,Glazed Clay,Sculpture,858.jpg
RC-442 - Weight,Egyptian,18TH,1570-1293 BCE,Amarna,Limestone,Tools,876.jpg
RC-443 - Dish,Egyptian,18TH,1353 - 35 BCE,Amarna,Limestone,Vessels,809.jpg
RC-444 - Jar Holder,Egyptian,18TH,1370-1350 BCE,Amarna,Stone,Vessels,804.jpg
RC-445 - Water Trough,Egyptian,18TH,1370-1350 BCE,Amarna,Limestone,Vessels,776.jpg
RC-446 - Mortar,Egyptian,18TH,1370-1350 BCE,Amarna,Alabaster,Tools,529.jpg
RC-447 - Sphere/ Pestle,Egyptian,18TH,1370-1350 BCE,Amarna,Stone,Tools,50.jpg
RC-449 - Spinning Bowl,Egyptian,18TH,1353 - 35 BCE,Amarna,Limestone,Tools,156.jpg
RC-450 - Jar Holder,Egyptian,18TH,1370-1350 BCE,Amarna,Stone,Vessels,127.jpg
RC-451 - Seat,Egyptian,18TH,1370-1350 BCE,Amarna,Stone,Furniture,906.jpg
RC-453 - Wheel,Egyptian,,,,Metal,Tools,363.jpg
RC-454 - Anubis,Egyptian,,305 - 30 BCE,Ptolemaic,Bronze,Sculpture,962.jpg
RC-455 - Eye,Egyptian,26TH,685-525 BCE,Saite Period,Bronze,Funerary,59.jpg
RC-456 - Sewn Leather Fragments/Mounted,Egyptian,19TH,1293 - 1185 BCE,New Kingdom,Leather,Toiletries,264.jpg
RC-459 - Amulet,Egyptian,,30 BCE - 323 CE,Greco-Roman,Glass,Amulets,963.jpg
RC-462 - Amphora,Egyptian,,332 - 30 BCE,Ptolemaic,Glass,Vessels,107.jpg
RC-464 - Boat Model Figure,Egyptian,11-12th,2100 - 1790 BCE,Middle Kingdom,Wood,Sculpture,964.jpg
RC-465 - Boat Model Figure,Egyptian,11-12th,2100 - 1790 BCE,Middle Kingdom,Wood,Sculpture,965.jpg
RC-466 - Boat Model Figure,Egyptian,11 - 12TH,2100-1790 BCE,Middle Kingdom,Wood,Sculpture,966.jpg
RC-472 - Triple Osiris Amulet,Egyptian,26TH,663 - 525 BCE,3rd Intermediate,Bronze,Amulets,450.jpg
RC-475 - Axe Head/ Circular,Egyptian,11 - 12TH,2040 - 1782 BCE,Middle Kingdom,Bronze,Tools,704.jpg
RC-478 - Plaque,Mesopotamian,,,,Terracotta,,712.jpg
RC-480 - Funerary Boat,Egyptian,12TH,2066-1650 BCE,Middle Kingdom,Wood,Sculpture,741.jpg
RC-483 - Brewery Tomb Model,Egyptian,12TH,2066-1650 BCE,Middle Kingdom,Wood,Funerary,428.jpg
RC-484 - Boat Model,Egyptian,11TH,2061-1991 BCE,Middle Kingdom,Wood,Sculpture,591.jpg
RC-485 - Boat Model,Egyptian,12TH,1991-1784 BCE,Middle Kingdom,Wood,Sculpture,967.jpg
RC-487 - Mask/ Coffin Fragment,Egyptian,19-26TH,1293-525 BCE,New Kingdom-3rd Int.,Wood,Funerary,256.jpg
RC-490 - Isis Figure,Egyptian,,305 - ?,Ptolemaic - Later,Wood,Sculpture,968.jpg
RC-491 - Hawk,Egyptian,,,,Wood,Sculpture,386.jpg
RC-492 - Mask/ Coffin Fragment,Egyptian,,,,Wood,Funerary,874.jpg
RC-493 - Boat Model,Egyptian,,,,Wood,Sculpture,969.jpg
RC-494 - Funereal Panel,Egyptian,,,,Wood,Funerary,56.jpg
RC-495 - Mummy Case Fragment,Egyptian,,525-343 BCE,Late Period,Cartonnage,Funerary,77.jpg
RC-496 - Funerary Chest Fragment,Egyptian,,,,Wood,Funerary,772.jpg
RC-497 - Breastplate Fragment,Egyptian,,,,Cartonnage,Funerary,166.jpg
RC-499 - Breastplate Fragment,Egyptian,,,,Cartonnage,Funerary,260.jpg
RC-501 - Mummy Case Fragment,Egyptian,,,,Cartonnage,Funerary,458.jpg
RC-502 - Stele,Egyptian,,,,Wood,Funerary,798.jpg
RC-504 - Stele,Egyptian,26-30,685-343 BCE,Late Period,Wood,Funerary,460.jpg
RC-505 - Funerary Cone,Egyptian,19TH,1290 - 1224 BCE,New Kingdom,Clay,Epigraphy,886.jpg
RC-506 - Head Fragment,Egyptian,,,?,Gabbro,Sculpture,301.jpg
RC-510 - Mummy Case Fragment,Egyptian,,,,Cartonnage,Funerary,780.jpg
RC-512 - Bird,Egyptian,,300 BCE,Ptolemaic,Wood,Sculpture,713.jpg
RC-513 - Hawk,Egyptian,,300 BCE,Ptolemaic,Wood,Sculpture,20.jpg
RC-514 - Anubis Head,Egyptian,,,,Wood,Funerary,970.jpg
RC-515 - Bird,Egyptian,,300 BCE,Ptolemaic,Wood,Sculpture,864.jpg
RC-516 - Hawk,Egyptian,,300 BCE,Ptolemaic,Wood,Sculpture,869.jpg
RC-517 - Hawk,Egyptian,,200 BCE,Ptolemaic,Wood,Sculpture,729.jpg
RC-518 - Hawk,Egyptian,,200 BCE,Ptolemaic,Wood,Sculpture,286.jpg
RC-519 - Hawk,Egyptian,,200 BCE,Ptolemaic,Wood,Sculpture,541.jpg
RC-520 - Hawk,Egyptian,,300 BCE,Ptolemaic,Wood,Sculpture,32.jpg
RC-522 - Shawabti,Egyptian,,2134-1784 BCE,Middle Kingdom,Wood,Ritual Objects,852.jpg
RC-523 - Shawabti,Egyptian,,1570-1070 BCE,Ptolemaic,Wood,Ritual Objects,657.jpg
RC-524 - Shawabti,Egyptian,,1570-1070 BCE,New Kingdom,Wood,Ritual Objects,854.jpg
